,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
123,Banda Aceh,95,ID,1587162164,79,5.56,95.32,79.25,1.77
124,Vila Velha,90,BR,1587162165,78,-20.33,-40.29,75.99,17.22
125,Port Elizabeth,61,ZA,1587162029,93,-33.92,25.57,60.8,2.24
126,Raton,1,US,1587162034,30,36.9,-104.44,57.2,13.87
127,Hobart,20,AU,1587162165,53,-42.88,147.33,54.0,9.17
128,Narsaq,100,GL,1587162102,68,60.92,-46.05,28.4,14.99
129,Kumul,2,CN,1587162165,24,42.8,93.45,59.05,7.31
130,Yinchuan,100,CN,1587162165,11,38.47,106.27,55.0,1.99
131,Sampit,100,ID,1587162166,97,-2.53,112.95,74.97,1.34
132,Nador,40,MA,1587162166,88,35.17,-2.93,62.6,3.29
133,Gijang,20,KR,1587162166,93,35.24,129.21,51.8,10.29
134,Hasaki,75,JP,1587162166,93,35.73,140.83,55.4,10.29
135,Pevek,24,RU,1587162166,92,69.7,170.31,5.05,7.23
136,Bethel,90,US,1587162166,39,41.37,-73.41,46.0,11.41
137,Kudahuvadhoo,17,MV,1587162166,71,2.67,72.89,85.33,8.28
138,Biak,3,ID,1587162166,74,-0.91,122.88,80.46,1.34
139,Fukuechō,70,JP,1587162167,59,32.69,128.84,61.16,23.85
140,Sinjai,99,ID,1587162167,76,-5.12,120.25,80.71,1.19
141,Ndioum,31,SN,1587162167,39,16.51,-14.65,82.4,4.7
142,Havre-St-Pierre,1,CA,1587162167,50,50.23,-63.6,30.2,24.16
143,Barrow,90,US,1587162167,85,71.29,-156.79,10.4,17.22
144,Assiut,97,EG,1587162167,59,27.18,31.18,66.2,11.41
145,Keetmanshoop,0,NA,1587162168,17,-26.58,18.13,73.4,10.29
146,Guerrero Negro,67,MX,1587162168,45,27.98,-114.06,72.0,13.91
147,Vanderhoof,100,CA,1587162168,69,54.02,-124.02,45.23,9.26
148,Beringovskiy,99,RU,1587162168,96,63.05,179.32,19.31,22.03
149,Constitución,100,CL,1587162168,60,-35.33,-72.42,66.78,11.88
150,São João Evangelista,76,BR,1587162168,78,-18.55,-42.76,69.22,2.82
151,Zhangjiakou,91,CN,1587162168,40,40.81,114.88,45.86,0.47
152,Carutapera,100,BR,1587162168,79,-1.2,-46.02,79.61,4.76
153,Caravelas,83,BR,1587162169,86,-17.71,-39.25,78.44,14.92
154,Namatanai,100,PG,1587162169,75,-3.67,152.43,81.07,2.01
155,Kruisfontein,90,ZA,1587162169,83,-34.0,24.73,59.94,3.96
156,Piaçabuçu,6,BR,1587162169,81,-10.41,-36.43,80.89,8.05
157,Arraial do Cabo,40,BR,1587162169,83,-22.97,-42.03,71.6,2.24
158,Amapá,100,BR,1587162169,88,1.0,-52.0,77.22,0.96
159,Andenes,96,NO,1587162169,81,69.31,16.12,35.6,6.93
160,Ratnagiri,0,IN,1587162169,86,16.98,73.3,79.39,1.5
161,Lorengau,72,PG,1587162170,76,-2.02,147.27,81.64,3.04
162,Hamilton,90,US,1587162005,87,39.18,-84.53,51.01,14.99
163,La Ronge,90,CA,1587162170,56,55.1,-105.28,44.6,18.34
164,Parintins,100,BR,1587162170,92,-2.63,-56.74,79.75,2.06
165,Coari,95,BR,1587162170,78,-4.08,-63.14,83.73,1.5
166,Tuktoyaktuk,90,CA,1587161896,78,69.45,-133.04,17.6,9.17
167,Tazovsky,100,RU,1587162170,98,67.47,78.7,35.04,16.6
168,Lagoa,17,PT,1587162171,71,39.05,-27.98,60.15,7.9
169,Khatanga,0,RU,1587162041,91,71.97,102.5,6.31,12.17
170,Hervey Bay,94,AU,1587162171,83,-25.3,152.85,75.0,2.24
171,Butaritari,92,KI,1587162042,81,3.07,172.79,82.22,17.58
172,Noumea,29,NC,1587162171,65,-22.28,166.46,79.0,3.36
173,Mbini,20,GQ,1587162171,100,1.57,9.61,78.8,3.36
174,Yerofey Pavlovich,66,RU,1587162171,81,53.97,121.97,23.79,6.58
175,Srednekolymsk,99,RU,1587162161,91,67.45,153.68,-3.14,10.25
176,Riyadh,40,SA,1587162172,60,24.69,46.72,73.4,18.34
177,Valdivia,90,CL,1587162172,100,-39.81,-73.25,64.4,5.82
178,Neman,0,RU,1587162172,83,55.03,22.03,35.44,9.26
179,Buzdyak,5,RU,1587162172,80,54.58,54.55,37.67,11.45
180,Bengkulu,51,ID,1587162031,82,-3.8,102.27,77.45,4.05
181,Okakarara,49,NA,1587162172,31,-20.58,17.43,70.23,7.67
182,Sangar,0,RU,1587162172,81,63.92,127.47,1.72,1.45
183,Geraldton,75,AU,1587162172,77,-28.77,114.6,69.8,7.83
184,Esperance,74,AU,1587162173,71,-33.87,121.9,57.2,16.11
185,Qarayeri,20,AZ,1587162173,76,40.79,46.31,51.8,4.7
186,Ambulu,96,ID,1587162173,79,-8.35,113.61,78.48,3.47
187,Evensk,7,RU,1587162173,88,61.95,159.23,13.3,7.85
188,Nicoya,40,CR,1587162048,38,10.15,-85.45,93.2,13.87
189,Ambovombe,0,MG,1587162173,77,-25.17,46.08,73.44,7.76
190,Tual,58,ID,1587162173,78,-5.67,132.75,83.73,8.86
191,North Bend,1,US,1587162174,71,43.41,-124.22,66.0,13.87
192,Muravlenko,100,RU,1587162174,90,63.79,74.52,38.19,15.86
193,Belaya Gora,98,RU,1587162174,89,68.53,146.42,-10.52,7.49
194,Aksaray,0,TR,1587162174,43,38.37,34.03,52.56,0.67
195,Mitú,93,CO,1587162101,84,1.2,-70.17,78.01,3.29
196,Saint-Pierre,9,RE,1587162174,78,-21.34,55.48,71.6,6.93
197,Sola,90,VU,1587162174,88,-13.88,167.55,82.4,5.82
198,Gander,20,CA,1587162175,82,48.97,-54.59,32.0,9.17
199,Cocobeach,20,GA,1587162175,94,1.0,9.58,77.0,3.36
200,Bambous Virieux,40,MU,1587162175,83,-20.34,57.76,75.99,9.17
201,Lebu,100,CL,1587162175,86,-37.62,-73.65,63.14,7.07
202,Jérémie,51,HT,1587162175,71,18.65,-74.12,81.39,0.89
203,Nanortalik,100,GL,1587162176,91,60.14,-45.24,29.55,18.07
204,Maniitsoq,100,GL,1587162176,92,65.42,-52.9,27.64,8.23
205,Newport,100,GB,1587162109,96,51.59,-3.0,50.0,1.01
206,Marawi,2,PH,1587162139,65,8.0,124.29,65.64,4.41
207,Dingle,10,PH,1587162177,81,11.0,122.67,79.48,7.02
208,Mandalgovi,100,MN,1587162177,26,45.76,106.27,46.83,12.01
209,Līsakovsk,77,KZ,1587162177,67,52.54,62.49,42.57,14.76
210,Timizart,100,DZ,1587162177,74,36.8,4.27,63.36,6.24
211,Salinópolis,100,BR,1587162177,80,-0.61,-47.36,79.7,0.4
212,Palauig,78,PH,1587162177,71,15.44,119.9,79.48,4.74
213,Kati,5,ML,1587162178,22,12.74,-8.07,87.8,3.36
214,Vänersborg,92,SE,1587162178,59,58.38,12.32,41.0,5.82
215,Ngong,20,KE,1587162178,93,-1.36,36.66,66.2,1.12
216,Yatou,0,CN,1587162178,90,37.15,122.38,46.4,10.11
217,Mafra,51,BR,1587162178,92,-26.11,-49.81,52.0,3.53
218,Krasnyy Yar,81,RU,1587162178,61,46.53,48.35,51.01,11.18
219,Wana,18,PK,1587162178,49,32.3,69.57,55.11,2.17
220,Beloha,0,MG,1587161998,67,-25.17,45.05,73.2,3.22
221,Half Moon Bay,90,US,1587162179,71,37.46,-122.43,63.0,6.93
222,Madimba,75,TZ,1587162179,94,-10.4,40.33,77.0,6.93
223,Saint Paul Harbor,75,US,1587162179,81,57.79,-152.41,48.2,8.05
224,Westport,90,US,1587162179,49,41.14,-73.36,48.2,18.34
225,Kamaishi,100,JP,1587162179,81,39.27,141.88,46.89,7.27
226,Iqaluit,90,CA,1587162179,78,63.75,-68.51,8.6,3.36
227,Richards Bay,0,ZA,1587162180,76,-28.78,32.04,69.51,7.9
228,Antakya,0,TR,1587162180,82,36.21,36.16,59.0,3.36
229,Manaus,40,BR,1587162136,78,-3.1,-60.02,80.6,5.82
230,Adrar,100,MR,1587162180,19,20.5,-10.07,92.7,3.18
231,Lakselv,76,NO,1587162180,80,70.05,24.97,35.6,48.32
232,Mayo,1,US,1587162180,66,38.89,-76.51,54.0,10.29
233,Brae,20,GB,1587162180,86,60.4,-1.35,42.8,9.17
234,Sekoma,14,BW,1587162180,19,-24.4,23.88,71.08,7.92
235,Muros,11,ES,1587162181,83,42.78,-9.06,57.99,10.0
236,Ozimek,79,PL,1587162181,58,50.68,18.21,46.99,4.7
237,Laas,5,IT,1587162181,75,46.62,10.7,42.8,3.36
238,Kilosa,100,TZ,1587162181,78,-6.83,36.98,70.79,4.07
239,Cidreira,24,BR,1587162181,80,-30.18,-50.21,67.21,9.31
240,Cherskiy,13,RU,1587162078,90,68.75,161.3,2.89,4.43
241,Marabu,75,MY,1587162182,94,4.41,114.01,80.6,1.12
242,Kavieng,97,PG,1587162182,76,-2.57,150.8,81.45,4.32
243,Soc Trang,49,VN,1587161943,83,9.6,105.98,79.65,4.23
244,Cuamba,0,MZ,1587162182,77,-14.8,36.54,67.77,3.58
245,Mahajanga,20,MG,1587162182,78,-15.72,46.32,73.4,5.82
246,Gaza,0,PS,1587161986,76,31.5,34.47,64.0,8.81
247,Lashio,89,MM,1587162182,54,22.93,97.75,66.22,2.46
248,Deputatsky,56,RU,1587162096,82,69.3,139.9,-12.77,2.13
249,Cheyenne,1,US,1587162114,44,41.14,-104.82,37.4,13.87
250,Tolbazy,90,RU,1587162183,93,54.02,55.88,39.2,13.42
251,San Quintín,31,MX,1587162183,64,30.48,-115.95,63.9,13.69
252,Uglovoye,100,UA,1587162183,70,44.82,33.6,49.48,9.6
253,Sitka,40,US,1587162183,81,57.05,-135.33,50.0,5.82
254,Ancud,20,CL,1587162116,87,-41.87,-73.82,59.0,5.82
255,Kununurra,54,AU,1587162183,88,-15.77,128.73,77.0,5.82
256,Khovd,49,MN,1587162183,48,48.01,91.64,38.91,1.07
257,Ust'-Barguzin,100,RU,1587162184,77,53.45,108.98,35.96,1.79
258,Tuatapere,98,NZ,1587162184,93,-46.13,167.68,52.0,5.99
259,Tegul'det,0,RU,1587162184,95,57.31,88.17,30.92,3.11
260,Klaksvík,5,FO,1587162184,86,62.23,-6.59,39.2,2.24
261,Florø,21,NO,1587162184,64,61.6,5.03,39.0,2.24
262,High Level,75,CA,1587162184,60,58.52,-117.14,41.0,14.99
263,Labuhan,71,ID,1587162185,83,-6.88,112.21,79.11,2.62
264,Hualmay,35,PE,1587162185,65,-11.1,-77.61,76.5,9.95
265,Sterling,75,US,1587162185,44,39.01,-77.43,59.0,8.05
266,Morropón,16,PE,1587162188,43,-5.18,-79.97,88.3,4.9
267,Mount Gambier,75,AU,1587162188,93,-37.83,140.77,51.8,6.06
268,Inírida,8,CO,1587162188,56,3.87,-67.92,87.87,3.42
269,Cabo San Lucas,40,MX,1587162188,53,22.89,-109.91,82.99,23.04
270,Monrovia,100,LR,1587162188,87,6.3,-10.8,82.26,9.6
271,Bonthe,100,SL,1587162189,82,7.53,-12.51,81.25,10.27
272,Benghazi,0,LY,1587162189,73,32.12,20.07,60.75,11.95
273,Ahipara,46,NZ,1587162189,86,-35.17,173.17,67.06,21.47
274,Stornoway,0,GB,1587162189,75,58.21,-6.39,46.4,16.11
275,Alta Floresta,75,BR,1587162105,62,-9.88,-56.09,89.6,5.82
276,Mokrousovo,78,RU,1587162066,87,55.81,66.77,45.55,9.53
277,Kpandae,100,GH,1587162117,57,8.47,-0.01,85.57,12.3
278,San Patricio,5,MX,1587162189,74,19.22,-104.7,82.4,23.04
279,Nome,90,US,1587162189,100,64.5,-165.41,36.0,12.75
280,Thompson,90,CA,1587162190,64,55.74,-97.86,39.2,9.17
281,Kalynivka,2,UA,1587162190,66,49.45,28.53,42.58,7.61
282,Sainte-Suzanne,20,RE,1587162190,64,-20.91,55.61,73.4,10.29
283,Constantine,75,DZ,1587162054,77,36.37,6.61,62.6,2.24
284,Santo André,75,BR,1587162190,72,-23.66,-46.54,64.4,14.99
285,Taoudenni,1,ML,1587162190,16,22.68,-3.98,95.54,5.95
286,Skjervøy,100,NO,1587162190,85,70.03,20.97,35.13,27.56
287,Sotnikovo,75,RU,1587162190,70,51.88,107.48,41.0,13.42
288,Āsosa,53,ET,1587162190,12,10.07,34.53,73.42,2.35
289,Palmer,90,US,1587162191,26,42.16,-72.33,48.2,17.22
290,Lompoc,90,US,1587162124,82,34.64,-120.46,57.99,9.17
291,Onega,100,RU,1587162191,98,63.91,38.14,31.75,10.8
292,Mushie,93,CD,1587162191,81,-3.02,16.9,74.48,1.57
293,Kita,0,ML,1587162191,17,13.03,-9.49,95.59,5.59
294,Itarema,100,BR,1587162166,88,-2.92,-39.92,77.99,4.45
295,Juneau,40,US,1587162002,76,58.3,-134.42,50.0,3.36
296,Boende,75,CD,1587162192,84,-0.22,20.87,74.46,2.66
297,Charleville,75,AU,1587162192,49,-26.4,146.25,69.8,4.7
298,Masunga,3,BW,1587162192,53,-20.62,27.45,67.59,13.65
299,Ardahan,9,TR,1587162192,33,41.11,42.7,39.74,2.71
300,Nikolayevsk-on-Amur,100,RU,1587162192,95,53.14,140.73,26.1,8.77
301,Porosozero,10,RU,1587162192,95,62.72,32.73,29.5,8.63
302,Goma,100,CD,1587162192,52,-1.68,29.22,65.17,0.51
303,Tommot,81,RU,1587162192,89,58.96,126.29,8.15,3.38
304,Ballina,75,AU,1587162124,94,-28.87,153.57,71.6,8.05
305,Dunedin,100,NZ,1587162017,96,-45.87,170.5,51.01,1.99
306,Avera,1,US,1587162193,36,33.19,-82.53,75.2,10.29
307,Nagrām,75,IN,1587162193,51,26.62,81.13,80.6,2.24
308,Moose Factory,90,CA,1587162193,37,51.26,-80.61,33.8,12.75
309,Tarauacá,87,BR,1587162193,64,-8.16,-70.77,80.37,3.49
310,Along,50,IN,1587162085,64,28.17,94.77,65.73,2.89
311,Rwamagana,75,RW,1587162193,82,-1.95,30.43,68.0,5.82
312,Ostrovnoy,100,RU,1587162064,96,68.05,39.51,32.29,14.74
313,Weihai,0,CN,1587162194,89,37.5,122.11,47.75,9.8
314,Acaponeta,61,MX,1587162194,16,22.5,-105.36,96.84,11.01
315,Tagusao,7,PH,1587162194,77,9.19,117.81,80.91,3.33
316,Baykit,88,RU,1587162194,95,61.67,96.37,29.28,1.88
317,Kamogawa,75,JP,1587162194,87,35.1,140.1,59.0,8.05
318,Portland,20,US,1587162122,12,45.52,-122.68,75.99,6.93
319,Berlevåg,90,NO,1587162194,87,70.86,29.09,37.4,27.51
320,Clyde River,40,CA,1587162194,78,70.47,-68.59,10.4,12.75
321,Vanino,0,RU,1587162195,67,49.09,140.25,39.76,4.47
322,Innisfail,3,AU,1587162195,90,-17.53,146.03,72.48,3.53
323,Porto Velho,40,BR,1587161951,66,-8.76,-63.9,86.0,5.82
324,Shetpe,27,KZ,1587162196,48,44.17,52.12,48.15,5.95
325,Mabai,100,CN,1587162196,65,23.01,104.45,58.17,3.67
326,Tongliao,0,CN,1587162196,51,43.61,122.27,46.22,5.82
327,Santoña,99,ES,1587162196,87,43.44,-3.46,57.99,2.39
328,Buala,100,SB,1587162196,83,-8.14,159.59,79.88,6.33
329,Verkhnevilyuysk,6,RU,1587162197,93,63.45,120.32,3.43,4.85
330,Fortuna,1,US,1587162197,82,40.6,-124.16,62.01,13.87
331,Nizhnevartovsk,100,RU,1587161997,70,60.93,76.55,42.8,11.18
332,Tyrma,77,RU,1587162197,56,50.08,132.17,40.93,2.26
333,Bauru,96,BR,1587162197,61,-22.31,-49.06,78.8,5.82
334,Paamiut,90,GL,1587162197,91,61.99,-49.67,27.66,9.62
335,Verāval,0,IN,1587162197,53,20.9,70.37,80.91,12.95
336,Porto Santo,20,PT,1587162097,67,33.07,-16.34,62.6,6.93
337,Urucará,100,BR,1587162198,92,-2.54,-57.76,80.04,1.9
338,Arrondissement de Blois,99,FR,1587162198,100,47.58,1.33,59.0,5.82
339,Chapais,75,CA,1587162198,86,49.78,-74.85,26.6,4.7
340,Mahabalipuram,20,IN,1587162198,83,12.63,80.17,84.99,3.36
341,Reconquista,0,AR,1587162198,39,-29.15,-59.65,71.87,2.95
342,Wao,5,PH,1587162198,58,7.68,124.68,61.9,2.93
343,Siderno,3,IT,1587162198,77,38.28,16.3,60.01,1.3
344,Altay,5,CN,1587162199,38,47.87,88.12,43.43,4.21
345,Buchanan,100,LR,1587162199,86,5.88,-10.05,82.58,9.82
346,Iranshahr,86,IR,1587162146,60,27.2,60.68,69.8,4.7
347,Oranjemund,66,NA,1587162199,88,-28.55,16.43,58.37,5.08
348,Douglas,1,US,1587162199,49,41.3,-96.17,48.0,8.05
349,Nelson Bay,89,AU,1587162090,55,-32.72,152.15,62.6,13.87
350,Majene,17,ID,1587162199,82,-3.54,118.97,78.03,3.38
351,Burgeo,26,CA,1587162199,88,47.62,-57.62,32.47,21.05
352,Aberdeen,90,GB,1587162148,60,57.14,-2.1,42.8,8.05
353,Katherine,40,AU,1587162200,73,-14.47,132.27,77.0,4.47
354,Río Gallegos,0,AR,1587162200,47,-51.62,-69.22,55.4,18.34
355,Benicarló,97,ES,1587162200,91,40.42,0.43,57.0,7.0
356,Nouadhibou,88,MR,1587162200,77,20.93,-17.03,66.2,16.11
357,Porbandar,0,IN,1587162200,69,21.64,69.61,79.63,11.16
358,Bariloche,75,AR,1587162200,93,-41.15,-71.31,63.0,17.22
359,Yeppoon,90,AU,1587162200,94,-23.13,150.73,71.6,3.36
360,Arman',100,RU,1587162200,94,59.7,150.17,15.73,13.24
361,Teya,40,RU,1587162201,89,60.38,92.63,31.57,0.25
362,Roald,16,NO,1587162201,71,62.58,6.13,34.0,2.24
363,Coyhaique,75,CL,1587162201,62,-45.58,-72.07,55.4,6.15
364,Bryan,90,US,1587162201,94,30.67,-96.37,77.0,4.7
365,Itupiranga,75,BR,1587162201,100,-5.13,-49.33,77.0,6.93
366,Gravdal,100,NO,1587162202,96,68.12,13.5,34.83,11.14
367,Vao,27,NC,1587162202,70,-22.67,167.48,74.61,7.63
368,Dzerzhinsk,20,RU,1587162162,84,56.24,43.46,39.0,8.95
369,Lázaro Cárdenas,99,MX,1587162117,41,17.96,-102.2,87.89,10.11
370,San Jose,75,US,1587162142,52,37.34,-121.89,68.0,10.29
371,Shenjiamen,96,CN,1587162202,75,29.96,122.3,61.02,4.16
372,Amahai,23,ID,1587162202,79,-3.33,128.92,80.85,1.92
373,Saint Anthony,75,US,1587162202,26,45.02,-93.22,48.2,13.87
374,Qasigiannguit,97,GL,1587162203,74,68.82,-51.19,28.4,2.24
